Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value,portfolio
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,44285.71428571428,Jobs,High School - No Training,# of New Jobs,0.0346,510.76190476190465,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,59047.619047619046,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,73809.5238095238,Jobs,High School - No Training,# of New Jobs,0.0346,510.76190476190453,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,88571.42857142857,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,103333.33333333333,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,118095.23809523809,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,132857.14285714284,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619043,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,147619.0476190476,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,162380.95238095237,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,177142.85714285713,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,191904.7619047619,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,206666.66666666666,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,221428.57142857142,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
