Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,Conversion Value,portfolio
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2025,24.545454545454547,Land,Land Impacted,High,acres,123,3019.0909090909095,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2026,49.09090909090909,Land,Land Impacted,High,acres,123,6038.181818181819,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2027,73.63636363636364,Land,Land Impacted,High,acres,123,9057.272727272728,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2028,98.18181818181819,Land,Land Impacted,High,acres,123,12076.363636363638,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2029,122.72727272727273,Land,Land Impacted,High,acres,123,15095.454545454546,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2030,147.27272727272728,Land,Land Impacted,High,acres,123,18114.545454545456,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2031,171.8181818181818,Land,Land Impacted,High,acres,123,21133.636363636364,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2032,196.36363636363637,Land,Land Impacted,High,acres,123,24152.727272727276,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2033,220.90909090909093,Land,Land Impacted,High,acres,123,27171.818181818184,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2034,245.4545454545455,Land,Land Impacted,High,acres,123,30190.909090909096,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2035,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2036,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2037,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2038,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2039,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2040,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2041,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2042,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2043,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2044,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2045,270,Land,Land Impacted,High,acres,123,33210,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2025,1209.090909090909,Land,Land Consumed,Low,acres,2.8,3385.454545454545,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2026,2418.181818181818,Land,Land Consumed,Low,acres,2.8,6770.90909090909,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2027,3627.272727272727,Land,Land Consumed,Low,acres,2.8,10156.363636363634,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2028,4836.363636363636,Land,Land Consumed,Low,acres,2.8,13541.81818181818,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2029,6045.454545454545,Land,Land Consumed,Low,acres,2.8,16927.272727272724,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2030,7254.545454545454,Land,Land Consumed,Low,acres,2.8,20312.72727272727,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2031,8463.636363636364,Land,Land Consumed,Low,acres,2.8,23698.181818181816,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2032,9672.727272727272,Land,Land Consumed,Low,acres,2.8,27083.63636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2033,10881.81818181818,Land,Land Consumed,Low,acres,2.8,30469.0909090909,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2034,12090.909090909088,Land,Land Consumed,Low,acres,2.8,33854.54545454545,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2035,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2036,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2037,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2038,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2039,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2040,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2041,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2042,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2043,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
