Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Effective Unit,Effective Energy Factor,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit,portfolio
Solar,PV,Electricity,Megawatts,MW,2035,13300,3599.822568,MJ per MWh,Effective MWh per MW,1755.282113,84038765354,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,28.27671033,84038765354,2.37634E+12,2.376339825,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2036,13300,3599.822568,MJ per MWh,Effective MWh per MW,1701.406747,81459339971,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,27.10334022,81459339971,2.20782E+12,2.207820206,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2037,13300,3599.822568,MJ per MWh,Effective MWh per MW,1647.531381,78879914588,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,25.92997011,78879914588,2.04535E+12,2.045353828,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2038,13300,3599.822568,MJ per MWh,Effective MWh per MW,1593.656015,76300489206,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,24.7566,76300489206,1.88894E+12,1.888940691,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2039,13300,3599.822568,MJ per MWh,Effective MWh per MW,1539.780649,73721063823,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,23.58322989,73721063823,1.73858E+12,1.738580796,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2040,13300,3599.822568,MJ per MWh,Effective MWh per MW,1485.905283,71141638440,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,22.40985979,71141638440,1.59427E+12,1.594274142,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2041,13300,3599.822568,MJ per MWh,Effective MWh per MW,1432.029917,68562213057,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,21.23648968,68562213057,1.45602E+12,1.45602073,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2042,13300,3599.822568,MJ per MWh,Effective MWh per MW,1378.154551,65982787674,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,20.06311957,65982787674,1.32382E+12,1.323820558,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2043,13300,3599.822568,MJ per MWh,Effective MWh per MW,1324.279185,63403362291,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,18.88974946,63403362291,1.19767E+12,1.197673628,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2044,13300,3599.822568,MJ per MWh,Effective MWh per MW,1270.403819,60823936908,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,17.71637935,60823936908,1.07758E+12,1.07757994,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2045,13300,3599.822568,MJ per MWh,Effective MWh per MW,1216.528453,58244511526,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,16.54300924,58244511526,9.63539E+11,0.963539492,million MT CO2e,Portfolio - Current Projects 1.29.2024
